mes-de-seq,especie ,amostra,tag,total_no_reads,threshold,OTU,no_reads_OTU,fate,family,genus ,species,notes,,,,,,,,,,
novembro,Tachyphonus coronatus,070,B,23036,11,P05_B_02,15,1,Solanaceae,Cestrum,,,,,,,,,,,,
novembro,Tachyphonus coronatus,070,B,23036,11,P05_B_03,2,0,,,,,,,,,,,,,,
novembro,Tachyphonus coronatus,070,B,23036,11,P05_B_04,4,0,,,,,,,,,,,,,,
novembro,Tachyphonus coronatus,070,B,23036,11,P05_B_05,2,0,,,,,,,,,,,,,,
novembro,Tachyphonus coronatus,070,B,23036,11,P05_B_06,2,0,,,,,,,,,,,,,,
novembro,Tachyphonus coronatus,070,B,23036,11,P05_B_07,2,0,,,,,,,,,,,,,,
novembro,Turdus amaurochalinus,199,C,23036,11,P05_C_01,35,1,Sapindaceae,Allophylus,,,,,,,,,,,,
novembro,Turdus amaurochalinus,199,C,23036,11,P05_C_02,2,0,,,,,,,,,,,,,,
novembro,Turdus leucomelas,308,D,23036,11,P05_D_01,149,1,Sapindaceae,Serjania/Paullinia,,Serjania or Paullinia,,,,,,,,,,
novembro,Turdus leucomelas,308,D,23036,11,P05_D_02,3,0,,,,,,,,,,,,,,
novembro,Turdus leucomelas,308,D,23036,11,P05_D_03,2,0,,,,,,,,,,,,,,
novembro,Tachyphonus coronatus,253,E,23036,11,P05_E_01,231,1,Melastomataceae,Miconia,,,,,,,,,,,,
novembro,Turdus leucomelas,198,H,23036,11,P05_H_01,62,1,Myrtaceae,Psidium,,"leave at family level,, check seeds",,,,,,,,,,
novembro,Turdus leucomelas,198,H,23036,11,P05_H_02,2,0,,,,,,,,,,,,,,
novembro,branco,branco,A,2291,1,P06_A_01,18,1,Melastomataceae,,,,,,,,,,,,,
novembro,branco,branco,A,2291,1,P06_A_02,10,1,Bignoniaceae,,,,,,,,,,,,,
novembro,branco,branco,A,2291,1,P06_A_03,5,1,Moraceae,Morus,,,,,,,,,,,,
novembro,branco,branco,B,2291,1,P06_B_01,1387,1,Melastomataceae,,,,,,,,,,,,,
novembro,branco,branco,C,2291,1,P06_C_01,0,1,NA,,,,,,,,,,,,,
novembro,branco,branco,D,2291,1,P06_D_01,0,1,NA,,,,,,,,,,,,,
novembro,branco,branco,E,2291,1,P06_E_01,0,1,NA,,,,,,,,,,,,,
novembro,branco,branco,H,2291,1,P06_H_01,0,1,NA,,,,,,,,,,,,,
